Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
11/17/2014,My Kitchen Newport,MY KITCHEN - NEWPORT C JERSEY CITY NJ        11/14,7.78,debit,Uncategorized,TOTAL CHECKING,,
11/16/2014,Faces Names Bar,FACES AND NAMES BAR,13.0,debit,Alcohol & Bars,CREDIT CARD,,
11/14/2014,Market Place,MARKET PLACE,7.04,debit,Groceries,CREDIT CARD,,
11/14/2014,Johnny Utah,JOHNNY UTAH'S,44.0,debit,Uncategorized,CREDIT CARD,,
11/14/2014,Side Dish Cafe,SIDE DISH CAFE,5.91,debit,Restaurants,CREDIT CARD,,
11/14/2014,Axa Equitable Dir,AXA EQUITABLE    DIR DEPPPD ID: 9004030301,1353.71,credit,Paycheck,TOTAL CHECKING,,
11/13/2014,Market Place,MARKET PLACE JERSEY CITY NJ11/12,6.4,debit,Groceries,TOTAL CHECKING,,
11/12/2014,Global Kitchen,52 GLOBAL KITCHEN INC,4.17,debit,Uncategorized,CREDIT CARD,,
11/12/2014,Key Food,KEY FOOD # 1484 BROOKLYN NY496778  11/11,3.98,debit,Groceries,TOTAL CHECKING,,
11/12/2014,ATM Deposit Washington,ATM CHECK DEPOSIT 11/12 575 WASHINGTON BLVD JERSEY CITY NJ,105.71,credit,Income,TOTAL CHECKING,,
11/12/2014,Alpine Cinemas,ALPINE CINEMAS BROOKLYN NY11/10,20.0,debit,Movies & DVDs,TOTAL CHECKING,,
11/11/2014,Century Theaters,CENTURY TWENTY ONE #20,9.0,credit,Movies & DVDs,CREDIT CARD,,
11/10/2014,Century Theaters,CENTURY TWENTY ONE #20,20.94,debit,Clothing,CREDIT CARD,,
11/10/2014,Teachers Choice,TEACHERS CHOICE,80.0,debit,Uncategorized,CREDIT CARD,,
11/10/2014,Rite Aid,RITE AID CORP. BROOKLYN NY478954  11/10,13.43,debit,Pharmacy,TOTAL CHECKING,,
11/10/2014,Fresca Deli,FRESCA DELI JERSEY CITY NJ11/07,9.58,debit,Restaurants,TOTAL CHECKING,,
11/10/2014,Dam Ny,THE DAM - NY NEW YORK NY11/06,14.7,debit,Uncategorized,TOTAL CHECKING,,
11/07/2014,Venmo Ccd Id,VENMO            PAYMENT    32206505        CCD ID: 2264681992,20.0,debit,Uncategorized,TOTAL CHECKING,,
11/07/2014,Venmo Ccd Id,VENMO            PAYMENT    32221475        CCD ID: 2264681992,20.0,debit,Uncategorized,TOTAL CHECKING,,
11/07/2014,Auntie Anne Nj,AUNTIE ANNE'S #NJ 135 JERSEY CITY NJ         11/05,3.63,debit,Fast Food,TOTAL CHECKING,,
11/07/2014,Rite Aid,RITE AID CORP. BROOKLYN NY284308  11/06,6.73,debit,Pharmacy,TOTAL CHECKING,,
11/06/2014,Market Place,MARKET PLACE JERSEY CITY NJ11/05,6.07,debit,Groceries,TOTAL CHECKING,,
11/06/2014,Jamba Juice,JAMBA JUICE NEWPORT JERSEY CITYNJ           11/05,3.21,debit,Food & Dining,TOTAL CHECKING,,
11/06/2014,Chase Quickpay Transfer,Chase QuickPay Electronic Transfer 4246219218 to RICHARD GEE,826.2,debit,Transfer,TOTAL CHECKING,,
11/05/2014,Transfer from CHASE COLLEGE,Payment Thank You-Mobile,458.15,credit,Credit Card Payment,CREDIT CARD,,
