Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
1/22/2015,Market Place,MARKET PLACE JERSEY CITY NJ01/21,7.13,debit,Groceries,TOTAL CHECKING,,
1/21/2015,Amazon,Amazon.com,99.0,debit,Shopping,CREDIT CARD,,
1/20/2015,Avanti Markets,AVANTI MARKETS TUKWILA WA01/16,1.35,debit,Groceries,TOTAL CHECKING,,
1/15/2015,M Llc,M56 LLC NEW YORK NY01/12,5.9,debit,Uncategorized,TOTAL CHECKING,,
1/12/2015,Qdoba Mexican Grill,QDOBA MEXICAN GRILL 28 JERSEY CITY NJ        01/09,8.35,debit,Fast Food,TOTAL CHECKING,,
1/12/2015,Chase Quickpay Transfer,Chase QuickPay Electronic Transfer 4381084157 to BRENDA WONG,28.5,debit,Transfer,TOTAL CHECKING,,
1/09/2015,Transfer from CHASE COLLEGE,Online Transfer from CHK ...2772transaction#: 4378748906,1000.0,credit,Transfer,CHASE SAVINGS,,
1/09/2015,Key Food,KEY FOOD # 1484 BROOKLYN NY464538  01/09,21.49,debit,Groceries,TOTAL CHECKING,,
1/09/2015,Axa Equitable Dir,AXA EQUITABLE    DIR DEPPPD ID: 9004030301,1358.53,credit,Paycheck,TOTAL CHECKING,,
1/09/2015,Transfer to CHASE SAVINGS,Online Transfer to SAV ...4866 transaction#: 4378748906,1000.0,debit,Transfer,TOTAL CHECKING,,
1/08/2015,Market Place,MARKET PLACE JERSEY CITY NJ01/07,2.0,debit,Groceries,TOTAL CHECKING,,
1/07/2015,Transfer from CHASE COLLEGE,Payment Thank You-Mobile,528.68,credit,Credit Card Payment,CREDIT CARD,,
1/07/2015,Transfer to CREDIT CARD,Payment to Chase card ending in2234,528.68,debit,Credit Card Payment,TOTAL CHECKING,,
1/07/2015,Avanti Markets,AVANTI MARKETS TUKWILA WA01/06,3.12,debit,Groceries,TOTAL CHECKING,,
1/07/2015,Avanti Markets,AVANTI MARKETS TUKWILA WA01/06,2.13,debit,Groceries,TOTAL CHECKING,,
1/06/2015,Asiancolumb Asi,PAYPAL *ASIANCOLUMB ASI,8.53,debit,Entertainment,CREDIT CARD,,
1/06/2015,Interest,INTEREST PAYMENT,0.04,credit,Interest Income,CHASE SAVINGS,,
1/05/2015,Nyc Taxi Yellow,NYC-TAXI YELLOW CAB,23.8,debit,Rental Car & Taxi,CREDIT CARD,,
1/05/2015,Mac,MAC #3005,97.99,credit,Credit Card Payment,CREDIT CARD,,
1/05/2015,Moleskine America,MOLESKINE AMERICA INC NEW YORK NY            01/02,15.19,debit,Uncategorized,TOTAL CHECKING,,
1/05/2015,Bar Nine,BAR NINE NEW YORK NY01/02,10.8,debit,Alcohol & Bars,TOTAL CHECKING,,
1/04/2015,Great Jones Spa,GREAT JONES SPA LLC,50.0,debit,Spa & Massage,CREDIT CARD,,
1/04/2015,MTA,MTA MVM*110TH ST - CATH,10.0,debit,Public Transportation,CREDIT CARD,,
1/02/2015,Nysc Bay Ridge,NYSC BAY RIDGE,149.66,debit,Health & Fitness,CREDIT CARD,,
1/02/2015,Nysc Bay Ridge,NYSC BAY RIDGE,19.99,debit,Health & Fitness,CREDIT CARD,,
1/02/2015,Mac,MAC #3730,137.18,debit,Misc Expenses,CREDIT CARD,,
1/02/2015,Jacks Sliders Sush,JACKS SLIDERS AND SUSH,67.79,debit,Food & Dining,CREDIT CARD,,
1/02/2015,Chase Quickpay Transfer,Chase QuickPay Electronic Transfer 4341732880 to Eric,197.0,debit,Transfer,TOTAL CHECKING,,
1/02/2015,Venmo Ccd Id,VENMO            PAYMENT    39545915        CCD ID: 2264681992,27.0,debit,Food & Dining,TOTAL CHECKING,,
1/01/2015,Favela Grill,FAVELA GRILL,92.2,debit,Restaurants,CREDIT CARD,,
1/01/2015,Avanti Markets,AVANTI MARKETS,1.31,debit,Groceries,CREDIT CARD,,
12/31/2014,Rite Aid,RITE AID STORE 3879,11.38,debit,Pharmacy,CREDIT CARD,,
12/31/2014,Chase Quickpay Transfer,Chase QuickPay Electronic Transfer 4296639463 to RICHARD GEE,536.0,debit,Transfer,TOTAL CHECKING,,
12/31/2014,Venmo Cashout Ccd,VENMO            CASHOUT    39391161        CCD ID: 1264681992,46.0,credit,Income,TOTAL CHECKING,,
12/29/2014,Gonzalez Y Gonzalez,GONZALEZ Y GONZALEZ,39.84,debit,Uncategorized,CREDIT CARD,,
12/29/2014,MTA,MTA MVM*BAY RIDGE AVENU,10.0,debit,Public Transportation,CREDIT CARD,,
12/29/2014,Coszcal De Allende,COSZCAL DE ALLENDE REST BROOKLYNNY          12/19,40.28,debit,Uncategorized,TOTAL CHECKING,,
12/29/2014,Venmo Ccd Id,VENMO            PAYMENT    38979232        CCD ID: 2264681992,53.0,debit,Uncategorized,TOTAL CHECKING,,
12/29/2014,Fedloanservicing Stdnt Loan,FEDLOANSERVICING STDNT LOAN 6KCEHCAST01     WEB ID: 9102000802,1.0,debit,Student Loan,TOTAL CHECKING,,
12/26/2014,iTunes,APL* ITUNES.COM/BILL,1.29,debit,Music,CREDIT CARD,,
12/24/2014,Axa Equitable Dir,AXA EQUITABLE    DIR DEPPPD ID: 9004030301,1355.66,credit,Paycheck,TOTAL CHECKING,,
