Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
10/17/2018,Poke Bowl Ny,"POKE BOWL - NY NEW YORK, NY #00000019",13.01,debit,Restaurants,Investor Checking ...125,,
10/16/2018,Barclays,"BARCLAYS - 745 CAFNEW YORK, NY #00000019",7.92,debit,Fast Food,Investor Checking ...125,,
10/16/2018,Barclays,"BARCLAYS - 745 CAFNEW YORK, NY #00000019",7.57,debit,Fast Food,Investor Checking ...125,,
10/16/2018,Bank Int 091618-101518 Schwab Bank,BANK INT 091618-101518 SCHWAB BANK,0.11,credit,Investments,Individual ...852,,
10/15/2018,Time Warner,TWC*TIME WARNER NYC,49.99,debit,Television,CREDIT CARD,,
10/15/2018,Barclays Bk Plc,BARCLAYS BK PLC  DIRECT DEPPPD ID: 9111111101,1738.66,credit,Paycheck,TOTAL CHECKING,,
10/15/2018,Barclays Bk Plc,BARCLAYS BK PLC DIRECT DEP 181015~ Tran:,150.0,credit,Paycheck,Investor Checking ...125,,
10/15/2018,Payroll Contribution,Payroll Contribution,530.0,credit,Investments,Barclays 401(k) Plan,,
10/15/2018,Spdr Dow Jones Industrial Avrg Etf,SPDR DOW JONES INDUSTRIAL AVRG ETF,257.82,debit,Buy,Individual ...852,,
10/14/2018,Br Factory Us,BR FACTORY US 4148 BROOKLYN,11.98,debit,Clothing,Investor Checking ...125,,
10/14/2018,Ops Csc Avalon,"OPS*CSC AVALON MIDNEW YORK, NY #00000019",10.0,debit,Laundry,Investor Checking ...125,,
10/12/2018,Barclays,"BARCLAYS - 745 CAFNEW YORK, NY #00000019",4.57,debit,Fast Food,Investor Checking ...125,,
10/12/2018,Barclays,"BARCLAYS - 745 CAFNEW YORK, NY #00000019",1.73,debit,Fast Food,Investor Checking ...125,,
10/11/2018,Barclays,"BARCLAYS - 745 CAFNEW YORK, NY #00000019",1.96,debit,Fast Food,Investor Checking ...125,,
10/10/2018,National Grid,NATIONAL GRID NY UTILITYPAYPPD ID: 9177976003,9.59,debit,Utilities,TOTAL CHECKING,,
