Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
12/28/2015,Mikaku,MIKAKU INC NEW YORK NY12/26,17.5,debit,Restaurants,TOTAL CHECKING,,
12/28/2015,Chase,Chase QuickPay Electronic Transfer 5033495793 to RICHARD GEE,166.91,debit,Financial,TOTAL CHECKING,,
12/28/2015,Chase Quickpay Electronic,Chase QuickPay Electronic Transfer 5089241450 from RICHARD GEE,100.0,credit,Transfer,TOTAL CHECKING,,
12/24/2015,Transfer from CHASE COLLEGE,Online Transfer from CHK ...2772transaction#: 5088586716,600.0,credit,Transfer,CHASE SAVINGS,,
12/24/2015,Transfer from CHASE COLLEGE,Payment Thank You-Mobile,25.0,credit,Credit Card Payment,CREDIT CARD,,
12/24/2015,Transfer to CHASE SAVINGS,Online Transfer to SAV ...4866 transaction#: 5088586716,600.0,debit,Transfer,TOTAL CHECKING,,
12/24/2015,ATM Withdrawal,ATM WITHDRAWAL006687  12/247427 5TH,400.0,debit,Cash & ATM,TOTAL CHECKING,,
12/24/2015,Transfer to CREDIT CARD,Payment to Chase card ending in8140,25.0,debit,Credit Card Payment,TOTAL CHECKING,,
12/24/2015,Axa Equitable Dir,AXA EQUITABLE    DIR DEPPPD ID: 9004030301,1437.36,credit,Paycheck,TOTAL CHECKING,,
12/23/2015,Bann,BANN NEW YORK NY12/22,34.24,debit,Uncategorized,TOTAL CHECKING,,
12/22/2015,Rite Aid,RITE AID STORE - 10574 BROOKLYNNY   644151  12/22,11.15,debit,Pharmacy,TOTAL CHECKING,,
12/22/2015,Academia Barilla Restau,ACADEMIA BARILLA RESTAU NEW YORKNY          12/21,9.74,debit,Uncategorized,TOTAL CHECKING,,
12/22/2015,ATM Withdrawal,ATM WITHDRAWAL005649  12/227427 5TH,300.0,debit,Cash & ATM,TOTAL CHECKING,,
12/22/2015,Wendy's,WENDYS #2689 NEW YORK NY12/21,4.36,debit,Fast Food,TOTAL CHECKING,,
12/21/2015,Forever 21,0160 FOREVER 21 NEW YORK NY463867  12/19,12.9,debit,Clothing,TOTAL CHECKING,,
12/21/2015,The Australian,THE AUSTRALIAN NEW YORK NY12/19,31.13,debit,Alcohol & Bars,TOTAL CHECKING,,
12/21/2015,Rite Aid,RITE AID STORE - 10574 BROOKLYNNY           12/20,13.37,debit,Pharmacy,TOTAL CHECKING,,
12/21/2015,Key Food,KEY FOOD # 1484 BROOKLYN NY12/20,10.69,debit,Groceries,TOTAL CHECKING,,
12/21/2015,Market Work W,MARKET@WORK 2067379149 TUKWILA WA            12/18,0.82,debit,Groceries,TOTAL CHECKING,,
12/21/2015,Key Food Brooklyn,KEY FOOD # 1484 BROOKLYN NY12/20,6.99,credit,Income,TOTAL CHECKING,,
12/18/2015,Market Work W,MARKET@WORK 2067379149 TUKWILA WA            12/17,4.07,debit,Groceries,TOTAL CHECKING,,
12/17/2015,Transfer from CHASE COLLEGE,Payment Thank You-Mobile,1500.0,credit,Credit Card Payment,CREDIT CARD,,
12/17/2015,Transfer to CREDIT CARD,Payment to Chase card ending in8140,1500.0,debit,Credit Card Payment,TOTAL CHECKING,,
12/17/2015,Duane Reade,Duane Reade 51 W 51ST NEW YORK NY    546102  12/17,2.78,debit,Pharmacy,TOTAL CHECKING,,
