Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
1/12/2023,REMOTE ONLINE DEPOSIT #,REMOTE ONLINE DEPOSIT #,25.46,credit,Transfer,TOTAL CHECKING,,
1/11/2023,NATIONAL GRID NY UTILITYPAY,NATIONAL GRID NY UTILITYPAY,25.55,debit,Utilities,TOTAL CHECKING,,
1/11/2023,Vanguard Total Intl Stock Index Admiral,Vanguard Total Intl Stock Index Admiral,1720.0,debit,Deposit,Retirement,,
1/11/2023,Vanguard Extended Market Index Instl,Vanguard Extended Market Index Instl,2580.0,debit,Deposit,Retirement,,
1/11/2023,Vanguard Institutional Index I,Vanguard Institutional Index I,4300.0,debit,Deposit,Retirement,,
1/10/2023,Vanguard Total Intl Stock Index Admiral,Vanguard Total Intl Stock Index Admiral,300.0,debit,Deposit,Retirement,,
1/10/2023,Vanguard Extended Market Index Instl,Vanguard Extended Market Index Instl,450.0,debit,Deposit,Retirement,,
1/10/2023,Vanguard Total Intl Stock Index Admiral,Vanguard Total Intl Stock Index Admiral,300.0,credit,Transfer,Retirement,,
1/10/2023,Vanguard Extended Market Index Instl,Vanguard Extended Market Index Instl,450.0,credit,Transfer,Retirement,,
1/10/2023,Vanguard Institutional Index I,Vanguard Institutional Index I,750.0,credit,Transfer,Retirement,,
1/10/2023,Vanguard Institutional Index I,Vanguard Institutional Index I,750.0,debit,Deposit,Retirement,,
1/04/2023,SANTBK CK WEBXFR TNTRANSFER 6227,SANTBK CK WEBXFR TNTRANSFER 6227,300.0,debit,Transfer,TOTAL CHECKING,,
1/03/2023,Payment to Chase card ending in,Payment to Chase card ending in,0.2,debit,Credit Card Payment,TOTAL CHECKING,,
1/03/2023,VANGUARD BUY     INVESTMENT,VANGUARD BUY     INVESTMENT,1500.0,debit,Financial,TOTAL CHECKING,,
1/03/2023,Payment Thank You-Mobile,Payment Thank You-Mobile,0.2,credit,Credit Card Payment,CREDIT CARD,,
1/02/2023,Etsy Inc Seller Fees,Etsy Inc Seller Fees,0.2,debit,Shopping,CREDIT CARD,,
12/30/2022,FIRST EAGLE INVE PAYROLL,FIRST EAGLE INVE PAYROLL,3797.21,credit,Paycheck,TOTAL CHECKING,,
12/29/2022,Interest Paid,Interest Paid,0.3,credit,Interest Income,Investor Checking ...125,,
12/28/2022,SCHWAB BANK      TRANSFER   0004,SCHWAB BANK      TRANSFER   0004,1000.0,debit,Transfer,TOTAL CHECKING,,
12/27/2022,Payment Thank You-Mobile,Payment Thank You-Mobile,432.43,credit,Credit Card Payment,CREDIT CARD,,
12/27/2022,Zelle payment to RICHARD GEE 161,Zelle payment to RICHARD GEE 161,30.0,debit,Transfer,TOTAL CHECKING,,
12/27/2022,Payment to Chase card ending in,Payment to Chase card ending in,432.43,debit,Credit Card Payment,TOTAL CHECKING,,
12/27/2022,Online Payment 16124713337 To 34,Online Payment 16124713337 To 34,1522.5,debit,Mortgage & Rent,TOTAL CHECKING,,
12/27/2022,Vanguard Institutional Index I,Vanguard Institutional Index I,733.81,debit,Financial,Retirement,,
12/27/2022,Vanguard Institutional Index I,Vanguard Institutional Index I,425.0,debit,Deposit,Retirement,,
12/27/2022,Vanguard Total Intl Stock Index Admiral,Vanguard Total Intl Stock Index Admiral,170.0,credit,Transfer,Retirement,,
12/27/2022,Vanguard Extended Market Index Instl,Vanguard Extended Market Index Instl,255.0,credit,Transfer,Retirement,,
12/27/2022,Vanguard Institutional Index I,Vanguard Institutional Index I,425.0,credit,Transfer,Retirement,,
12/27/2022,Vanguard Extended Market Index Instl,Vanguard Extended Market Index Instl,255.0,debit,Deposit,Retirement,,
12/27/2022,Vanguard Total Intl Stock Index Admiral,Vanguard Total Intl Stock Index Admiral,170.0,debit,Deposit,Retirement,,
12/26/2022,PAYPAL *SPOTIFYUSAI,PAYPAL *SPOTIFYUSAI,9.99,debit,Music,CREDIT CARD,,
12/26/2022,Electronic Deposit,Electronic Deposit,1000.0,credit,Income,Investor Checking ...125,,
12/26/2022,INVSC SP 500 EQL WGH CNSMR DSCRT ETF,INVSC SP 500 EQL WGH CNSMR DSCRT ETF,8.93,debit,Buy,Individual ...852,,
12/25/2022,Rite Aid,RITE AID 03879,9.04,debit,Shopping,CREDIT CARD,,
12/22/2022,VENMO            PAYMENT    1024,VENMO            PAYMENT    1024,82.0,debit,Transfer,TOTAL CHECKING,,
12/22/2022,INVSC SP 500 EQL WGH CNSMR DSCRT ETF,INVSC SP 500 EQL WGH CNSMR DSCRT ETF,8.93,credit,Income,Individual ...852,,
12/22/2022,SCHWAB INTERMEDIATE TERMUS TRS ETF,SCHWAB INTERMEDIATE TERMUS TRS ETF,7.26,debit,Transfer,Individual ...852,,
12/21/2022,PAYPAL *EBAY US,PAYPAL *EBAY US,50.6,debit,Shopping,CREDIT CARD,,
12/21/2022,PAYPAL *POSHMARK,PAYPAL *POSHMARK,23.99,debit,Clothing,CREDIT CARD,,
12/21/2022,FIRST EAGLE INVE DIRECT-PAY,FIRST EAGLE INVE DIRECT-PAY,122.31,credit,Income,TOTAL CHECKING,,
12/21/2022,SCHWAB INTERMEDIATE TERMUS TRS ETF,SCHWAB INTERMEDIATE TERMUS TRS ETF,7.26,credit,Income,Individual ...852,,
12/21/2022,SPDR S&P 500 HIGH DIVIDEND ETF,SPDR S&P 500 HIGH DIVIDEND ETF,60.72,debit,Investments,Individual ...852,,
