Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
10/10/2022,JUDY & PUNCH,JUDY & PUNCH,25.0,debit,Alcohol & Bars,CREDIT CARD,,
10/09/2022,Payment Thank You-Mobile,Payment Thank You-Mobile,1341.27,credit,Credit Card Payment,CREDIT CARD,,
10/09/2022,Payment Thank You-Mobile,Payment Thank You-Mobile,146.88,credit,Credit Card Payment,CREDIT CARD,,
10/09/2022,SCHWAB INTERMEDIATE TERMUS TRS ETF,SCHWAB INTERMEDIATE TERMUS TRS ETF,6.63,debit,Transfer,Individual ...852,,
10/07/2022,ATM Fee,CHASE 12 E 86TH ST NEW YORK,3.5,debit,ATM Fee,Investor Checking ...125,,
10/07/2022,CHASE 12 E 86TH ST NEW YORK,CHASE 12 E 86TH ST NEW YORK,100.0,debit,Cash & ATM,Investor Checking ...125,,
10/07/2022,KEY FOOD XXXX XX-13 36T LNG ISLND CTY,KEY FOOD XXXX XX-13 36T LNG ISLND CTY,9.98,debit,Groceries,Investor Checking ...125,,
10/07/2022,PAYPAL *SAM HARRIS,PAYPAL *SAM HARRIS,49.99,debit,Charity,CREDIT CARD,,
10/06/2022,SCHWAB INTERMEDIATE TERMUS TRS ETF,SCHWAB INTERMEDIATE TERMUS TRS ETF,6.63,credit,Income,Individual ...852,,
10/05/2022,BRIDGEVIEW DINER,BRIDGEVIEW DINER,99.02,debit,Restaurants,CREDIT CARD,,
10/04/2022,KEY FOOD XXXX XX-13 36T LNG ISLND CTY,KEY FOOD XXXX XX-13 36T LNG ISLND CTY,1.99,debit,Groceries,Investor Checking ...125,,
10/04/2022,DOLLAR GENERAL #X9203 D ASTORIA,DOLLAR GENERAL #X9203 D ASTORIA,13.38,debit,Shopping,Investor Checking ...125,,
10/03/2022,VANGUARD BUY     INVESTMENT,VANGUARD BUY     INVESTMENT,1500.0,debit,Financial,TOTAL CHECKING,,
10/03/2022,VENMO            PAYMENT    1022,VENMO            PAYMENT    1022,295.0,debit,Transfer,TOTAL CHECKING,,
10/03/2022,SQ *PATIS BAKERY,SQ *PATIS BAKERY,4.9,debit,Restaurants,CREDIT CARD,,
10/03/2022,PAYPAL *POSHMARK,PAYPAL *POSHMARK,5.67,debit,Clothing,CREDIT CARD,,
10/01/2022,IKRAVEIT F XX-02 30TH S ASTORIA,IKRAVEIT F XX-02 30TH S ASTORIA,101.75,debit,Cash & ATM,Investor Checking ...125,,
9/30/2022,"GREENBAY ORGANIC FOODS ASTORIA, #0000","GREENBAY ORGANIC FOODS ASTORIA, #0000",12.18,debit,Groceries,Investor Checking ...125,,
9/30/2022,FIRST EAGLE INVE PAYROLL,FIRST EAGLE INVE PAYROLL,3180.59,credit,Paycheck,TOTAL CHECKING,,
9/30/2022,VENMO            PAYMENT    1022,VENMO            PAYMENT    1022,15.0,debit,Transfer,TOTAL CHECKING,,
9/29/2022,LEES FAMILY FARM CORP ASTORIA,LEES FAMILY FARM CORP ASTORIA,7.15,debit,Groceries,Investor Checking ...125,,
9/29/2022,Interest Paid,Interest Paid,0.22,credit,Interest Income,Investor Checking ...125,,
9/29/2022,Zelle payment to RICHARD GEE 154,Zelle payment to RICHARD GEE 154,50.0,debit,Transfer,TOTAL CHECKING,,
9/28/2022,COVENHOVEN,COVENHOVEN,29.0,debit,Alcohol & Bars,CREDIT CARD,,
9/27/2022,Online Payment 15396069594 To 34,Online Payment 15396069594 To 34,1522.5,debit,Mortgage & Rent,TOTAL CHECKING,,
9/27/2022,Payment to Chase card ending in,Payment to Chase card ending in,77.97,debit,Credit Card Payment,TOTAL CHECKING,,
9/27/2022,Payment to Chase card ending in,Payment to Chase card ending in,40.0,debit,Credit Card Payment,TOTAL CHECKING,,
9/27/2022,PAYPAL *EBAY US,PAYPAL *EBAY US,13.77,debit,Shopping,CREDIT CARD,,
9/27/2022,Payment Thank You-Mobile,Payment Thank You-Mobile,40.0,credit,Credit Card Payment,CREDIT CARD,,
9/27/2022,Payment Thank You-Mobile,Payment Thank You-Mobile,77.97,credit,Credit Card Payment,CREDIT CARD,,
9/27/2022,Vanguard Institutional Index I,Vanguard Institutional Index I,750.0,debit,Deposit,Retirement,,
9/27/2022,Vanguard Total Intl Stock Index Admiral,Vanguard Total Intl Stock Index Admiral,300.0,debit,Deposit,Retirement,,
9/27/2022,Vanguard Institutional Index I,Vanguard Institutional Index I,750.0,credit,Transfer,Retirement,,
9/27/2022,Vanguard Extended Market Index Instl,Vanguard Extended Market Index Instl,450.0,credit,Transfer,Retirement,,
9/27/2022,Vanguard Extended Market Index Instl,Vanguard Extended Market Index Instl,450.0,debit,Deposit,Retirement,,
9/27/2022,Vanguard Total Intl Stock Index Admiral,Vanguard Total Intl Stock Index Admiral,300.0,credit,Transfer,Retirement,,
9/26/2022,VENMO            CASHOUT,VENMO            CASHOUT,15.0,credit,Transfer,TOTAL CHECKING,,
9/26/2022,PAYPAL *SPOTIFYUSAI,PAYPAL *SPOTIFYUSAI,9.99,debit,Music,CREDIT CARD,,
9/25/2022,SQ *TADA NOODLES,SQ *TADA NOODLES,6.78,debit,Restaurants,CREDIT CARD,,
9/25/2022,SQ *TWISTER CAKE NYC INC,SQ *TWISTER CAKE NYC INC,7.18,debit,Food & Dining,CREDIT CARD,,
9/22/2022,PAYPAL *MCAFEE,PAYPAL *MCAFEE,38.1,debit,Electronics & Software,CREDIT CARD,,
9/22/2022,Offer:Dell (Non-In Sto,Offer:Dell (Non-In Sto,65.04,credit,Electronics & Software,CREDIT CARD,,
9/22/2022,INVSC SP 500 EQL WGH CNSMR DSCRT ETF,INVSC SP 500 EQL WGH CNSMR DSCRT ETF,8.53,credit,Income,Individual ...852,,
